pos,voltage
-15,23450
-13,23450
-16,23450
-12,23450
-12,23450
-15,23450
-8,23450
-9,23450
-10,23450
-11,23450
-12,23450
-11,23450
-10,23450
-9,23450
-11,23450
-13,23450
-20,23450
-11,23450
-15,23450
-12,23450
-14,23450
-15,23450
-13,23450
-12,23450
-16,23450
-16,23450
-11,23450
-11,23450
-11,23450
-13,23450
-8,23450
-12,23450
-13,23450
-12,23450
-12,23450
-12,23450
-8,23450
-13,23450
-12,23450
-15,23450
-13,23450
-12,23450
-17,23450
-13,23450
-10,23450
-16,23450
-16,23450
-14,23450
-8,23450
-12,23450
-17,23450
-8,23450
-13,23450
-8,23450
-14,23450
-12,23450
-10,23450
-13,23450
-10,23450
-15,23450
-10,23450
-13,23450
-15,23450
-14,23450
-15,23450
-12,23450
-12,23450
-10,23450
-16,23450
-13,23450
-13,23450
-15,23450
-13,23450
-15,23450
-15,23450
-15,23450
-15,23450
-9,23450
-17,23450
-12,23450
-10,23450
-13,23450
-14,23450
-11,23450
-10,23450
-14,23450
-10,23450
-12,23450
-10,23450
-5,23450
-10,23450
-14,23450
-14,23450
-13,23450
-11,23450
-10,23450
-15,23450
-13,23450
-13,23450
-12,23450
-13,23450
-9,23450
-20,23450
-12,23450
-12,23450
-14,23450
-11,23450
-12,23450
-11,23450
-11,23450
-14,23450
-12,23450
-10,23450
-14,23450
-12,23450
-12,23450
-10,23450
-15,23450
-10,23450
-12,23450
-11,23450
-15,23450
-19,23450
-16,23450
-12,23450
-13,23450
-10,23450
-12,23450
-11,23450
-10,23450
-16,23450
-15,23450
-15,23450
-9,23450
-15,23450
-14,23450
-13,23450
-11,23450
-10,23450
-12,23450
-8,23450
-10,23450
-13,23450
-12,23450
-13,23450
-7,23450
-12,23450
-8,23450
-14,23450
-10,23450
-16,23450
-9,23450
-16,23450
-12,23450
-18,23450
-15,23450
-12,23450
-13,23450
-13,23450
-14,23450
-14,23450
-14,23450
-14,23450
-11,23450
-15,23450
-7,23450
-10,23450
-10,23450
-8,23450
-10,23450
-11,23450
-10,23450
-13,23450
-10,23450
-8,23450
-11,23450
-10,23450
-11,23450
-10,23450
-13,23450
-13,23450
-13,23450
-7,23450
-13,23450
-12,23450
-16,23450
-9,23450
-12,23450
-9,23450
-9,23452
-9,23452
-13,23452
-12,23452
-11,23452
-16,23452
-17,23452
-12,23452
-16,23452
-14,23452
-14,23452
-11,23452
-15,23452
-6,23452
-11,23452
-14,23452
-14,23452
-13,23452
-9,23452
-18,23452
-13,23452
-14,23452
-12,23452
-18,23452
-13,23452
-12,23452
-12,23452
-15,23452
-11,23452
-12,23452
-7,23452
-13,23452
-16,23452
-10,23452
-9,23452
-13,23452
-15,23452
-15,23452
-16,23452
-10,23452
-11,23452
-11,23452
-15,23452
-10,23452
-14,23452
-17,23452
-16,23452
-12,23452
-15,23452
-15,23452
-14,23452
-12,23452
-12,23452
-14,23452
-12,23452
-11,23452
-11,23452
-15,23452
-12,23452
-8,23452
-15,23452
-13,23452
-11,23452
-12,23452
-10,23452
-14,23452
-14,23452
-17,23452
-12,23452
-14,23452
-8,23452
-14,23452
-14,23452
-12,23452
-14,23452
-14,23452
-13,23452
-12,23452
-11,23452
-10,23452
-15,23452
-12,23452
-12,23452
-10,23452
-17,23452
-9,23452
-8,23452
-9,23452
-15,23452
-11,23452
-10,23452
-11,23452
-13,23452
-10,23452
-11,23452
-11,23452
-12,23452
-9,23452
-13,23452
-13,23452
-13,23452
-13,23452
-14,23452
-11,23452
-10,23452
-11,23452
-12,23452
-11,23452
-6,23452
-7,23452
-13,23452
-15,23452
-14,23452
-13,23452
-9,23452
-12,23452
-7,23452
-10,23452
-8,23452
-10,23452
-11,23452
-12,23452
-14,23452
-9,23452
-16,23452
-11,23452
-14,23452
-13,23452
-10,23452
-13,23452
-12,23452
-13,23452
-12,23452
-7,23452
-9,23452
-12,23452
-11,23452
-14,23452
-15,23452
-12,23452
-13,23452
-11,23452
-12,23452
-13,23452
-17,23452
-14,23452
-9,23452
-10,23452
-13,23452
-9,23452
-13,23452
-18,23452
-16,23452
-11,23452
-14,23452
-9,23452
-14,23452
-15,23452
-11,23452
-17,23452
-15,23452
-14,23452
-11,23452
-13,23452
-11,23452
-12,23452
-12,23452
-10,23452
-15,23452
-12,23452
-16,23452
-16,23452
-13,23452
-9,23452
-11,23452
-13,23452
-8,23452
-12,23452
-15,23452
-10,23452
-11,23452
-13,23452
-13,23452
-13,23452
-7,23452
-12,23452
-13,23452
-13,23452
-12,23452
-14,23452
-17,23452
-13,23452
-9,23452
-13,23452
-9,23452
-13,23452
-11,23452
-15,23452
-11,23452
-9,23452
-11,23452
-15,23452
-12,23452
-14,23452
-13,23452
-15,23452
-8,23452
-9,23452
-14,23452
-13,23452
-6,23452
-16,23452
-14,23452
-13,23452
-14,23452
-17,23452
-16,23452
-18,23452
-10,23452
-11,23452
-13,23452
-11,23452
-15,23452
-18,23452
-12,23452
-16,23452
-12,23452
-22,23452
-14,23452
-9,23452
-9,23452
-14,23452
-17,23452
-15,23452
-16,23452
-13,23452
-12,23452
-14,23452
-9,23452
-13,23452
-13,23452
-16,23452
-15,23452
-11,23452
-15,23452
-12,23452
-11,23452
-13,23452
-13,23452
-15,23452
-12,23452
-9,23452
-10,23452
-13,23455
-12,23455
-10,23455
-11,23455
-12,23455
-14,23455
-12,23455
-16,23455
-13,23455
-14,23455
-7,23455
-12,23455
