finestep,counter_asc,counter_desc
-18400,36.0,6.0
-18384,30.0,14.0
-18368,34.0,14.0
-18352,34.0,16.0
-18336,35.0,13.0
-18320,33.0,11.0
-18304,35.0,12.0
-18288,30.0,10.0
-18272,33.0,10.0
-18256,35.0,12.0
-18240,36.0,10.0
-18224,32.0,14.0
-18208,30.0,9.0
-18192,35.0,12.0
-18176,34.0,12.0
-18160,34.0,9.0
-18144,37.0,10.0
-18128,33.0,16.0
-18112,36.0,12.0
-18096,35.0,14.0
-18080,34.0,12.0
-18064,33.0,14.0
-18048,33.0,10.0
-18032,34.0,14.0
-18016,32.0,11.0
-18000,37.0,12.0
-17984,34.0,17.0
-17968,35.0,9.0
-17952,28.0,12.0
-17936,35.0,14.0
-17920,34.0,5.0
-17904,32.0,12.0
-17888,34.0,11.0
-17872,35.0,11.0
-17856,32.0,10.0
-17840,34.0,11.0
-17824,34.0,6.0
-17808,33.0,14.0
-17792,35.0,10.0
-17776,36.0,10.0
-17760,38.0,13.0
-17744,30.0,15.0
-17728,31.0,14.0
-17712,35.0,10.0
-17696,31.0,9.0
-17680,32.0,13.0
-17664,31.0,11.0
-17648,35.0,13.0
-17632,34.0,8.0
-17616,33.0,8.0
-17600,35.0,10.0
-17584,37.0,11.0
-17568,38.0,9.0
-17552,30.0,4.0
-17536,34.0,7.0
-17520,36.0,14.0
-17504,34.0,8.0
-17488,36.0,11.0
-17472,35.0,9.0
-17456,35.0,13.0
-17440,34.0,10.0
-17424,30.0,9.0
-17408,32.0,11.0
-17392,27.0,9.0
-17376,36.0,10.0
-17360,32.0,8.0
-17344,33.0,11.0
-17328,33.0,8.0
-17312,33.0,10.0
-17296,33.0,6.0
-17280,34.0,12.0
-17264,37.0,11.0
-17248,33.0,9.0
-17232,33.0,6.0
-17216,34.0,8.0
-17200,33.0,7.0
-17184,38.0,2.0
-17168,29.0,7.0
-17152,29.0,10.0
-17136,34.0,10.0
-17120,32.0,6.0
-17104,35.0,5.0
-17088,33.0,11.0
-17072,34.0,7.0
-17056,31.0,8.0
-17040,32.0,5.0
-17024,31.0,10.0
-17008,35.0,11.0
-16992,32.0,9.0
-16976,35.0,9.0
-16960,28.0,11.0
-16944,32.0,10.0
-16928,34.0,6.0
-16912,32.0,8.0
-16896,34.0,7.0
-16880,35.0,7.0
-16864,30.0,7.0
-16848,31.0,12.0
-16832,32.0,6.0
-16816,31.0,10.0
-16800,28.0,7.0
-16784,39.0,5.0
-16768,36.0,11.0
-16752,33.0,6.0
-16736,34.0,8.0
-16720,27.0,3.0
-16704,31.0,10.0
-16688,34.0,10.0
-16672,33.0,7.0
-16656,35.0,8.0
-16640,32.0,6.0
-16624,29.0,8.0
-16608,33.0,8.0
-16592,33.0,8.0
-16576,32.0,10.0
-16560,34.0,9.0
-16544,31.0,8.0
-16528,34.0,8.0
-16512,34.0,8.0
-16496,26.0,10.0
-16480,29.0,10.0
-16464,33.0,6.0
-16448,33.0,6.0
-16432,29.0,12.0
-16416,29.0,8.0
-16400,32.0,8.0
-16384,32.0,8.0
-16368,33.0,9.0
-16352,31.0,6.0
-16336,34.0,9.0
-16320,35.0,8.0
-16304,29.0,4.0
-16288,31.0,9.0
-16272,33.0,3.0
-16256,31.0,8.0
-16240,36.0,5.0
-16224,29.0,4.0
-16208,30.0,7.0
-16192,28.0,7.0
-16176,32.0,9.0
-16160,32.0,8.0
-16144,33.0,6.0
-16128,33.0,7.0
-16112,30.0,2.0
-16096,32.0,9.0
-16080,33.0,7.0
-16064,33.0,4.0
-16048,29.0,3.0
-16032,31.0,6.0
-16016,30.0,8.0
-16000,30.0,6.0
-15984,28.0,6.0
-15968,29.0,4.0
-15952,37.0,7.0
-15936,34.0,3.0
-15920,30.0,12.0
-15904,29.0,9.0
-15888,32.0,3.0
-15872,30.0,5.0
-15856,31.0,7.0
-15840,27.0,4.0
-15824,29.0,6.0
-15808,34.0,8.0
-15792,30.0,6.0
-15776,29.0,6.0
-15760,31.0,3.0
-15744,30.0,4.0
-15728,26.0,5.0
-15712,29.0,5.0
-15696,32.0,6.0
-15680,31.0,3.0
-15664,30.0,3.0
-15648,30.0,6.0
-15632,31.0,4.0
-15616,27.0,4.0
-15600,26.0,10.0
-15584,28.0,8.0
-15568,27.0,8.0
-15552,31.0,3.0
-15536,30.0,2.0
-15520,28.0,5.0
-15504,31.0,1.0
-15488,29.0,6.0
-15472,28.0,6.0
-15456,31.0,-1.0
-15440,31.0,4.0
-15424,32.0,1.0
-15408,31.0,7.0
-15392,32.0,7.0
-15376,34.0,4.0
-15360,34.0,5.0
-15344,28.0,6.0
-15328,28.0,5.0
-15312,28.0,6.0
-15296,35.0,6.0
